Abscess Нарыв
AIDS СПИД
Allergy	Аллергия
Stroke Инсульт
Fracture Перелом
Bronchitis Бронхит
Burn Ожог
Cancer Рак
Chickenpox Ветряная Оспа
Cold Простуда
Diabetes Диабет
Dysentery Дизентерия
Epilepsy Эпилепсия
Gastritis Гастрит
Hypertension Гипертония
Inflammation Воспаление
Influenza Грипп
Measles Корь
Nephritis Нефрит
Pharyngitis Фарингит
Pneumonia Пневмония
Rheumatism Ревматизм
Smallpox Оспа
Tonsillitis Тонзиллит
Tuberculosis Туберкулёз
Tumour Опухоль
Ulcer Язва
Quinsy Ангина
