Airoport Аэропорт
Airplane Самолет
Aisle Проход
Armrest Подлокотник
Cabin Полка
Cockpit Кабина
Customs Таможня
Fuselage Фюзеляж
Galley Камбуз
Gate Вход
Lavatory Туалет
Mask Маска
Passport Паспорт
Pilot Пилот
Runway Полоса
Suitcase Чемодан
Tail Хвост
Terminal Терминал
Ticket Билет
Tray Поднос
Visa Виза
Wing Крыло
